,att_rla,att_sci,att_math,att_ss,avg_math,avg_rla,avg_sci,avg_ss
0,93.6,88.2,90.8,89.7,6.86,6.11,7.67,6.75
1,94.7,85.5,94.7,90.9,8.36,4.44,7.66,7.98
2,95.7,93.4,94.7,94.4,8.48,7.27,8.21,7.42
3,100.0,98.7,100.0,100.0,8.71,8.82,8.51,8.57
4,91.5,97.4,90.8,96.2,8.77,7.59,8.36,7.16
5,100.0,96.1,93.4,97.1,9.8,9.38,8.06,9.1
6,89.4,94.7,94.7,95.5,6.18,7.29,8.57,7.14
7,85.1,78.9,78.9,75.0,6.62,7.29,3.0,4.92
8,96.8,98.7,98.7,100.0,8.59,7.59,6.52,8.09
9,86.2,90.5,81.6,90.9,9.31,7.16,10.0,7.58
10,100.0,98.7,96.1,100.0,9.64,7.48,7.36,8.31
11,100.0,98.7,98.7,97.0,8.76,8.61,7.38,8.09
12,97.8,100.0,100.0,97.0,4.7,5.0,8.79,5.64
13,98.9,97.4,97.4,97.0,9.05,5.43,7.64,8.44
14,97.9,97.4,98.7,97.0,9.22,9.03,8.72,8.3
15,86.7,88.2,92.1,83.3,8.44,7.29,6.24,4.54
16,97.9,100.0,100.0,100.0,9.51,9.2,9.1,7.5
17,100.0,100.0,100.0,0.0,8.35,7.29,7.61,6.14
18,97.9,96.1,96.1,97.0,9.16,4.5,8.42,7.45
19,98.9,97.4,97.4,100.0,7.53,8.03,6.84,8.67
20,96.8,90.8,96.1,80.0,8.8,3.94,6.86,4.33
21,97.9,98.7,88.2,97.0,6.22,6.33,7.07,7.44
22,81.9,90.8,73.7,83.9,9.75,8.97,8.02,8.48
23,97.8,100.0,100.0,98.5,8.99,9.83,8.16,7.97
24,,,,,8.48,9.48,8.86,8.43
25,100.0,98.7,100.0,100.0,7.73,6.33,6.33,6.11
26,93.6,93.4,90.8,72.7,8.16,7.29,6.81,8.0
27,,,,,9.16,8.65,7.76,7.8
28,100.0,100.0,100.0,98.5,8.67,5.82,6.29,6.54
