,confidence_bef_math,confidence_bef_rla,confidence_bef_sci,confidence_bef_ss,confidence_aft_math,confidence_aft_rla,confidence_aft_sci,confidence_aft_ss
0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0
1,3.0,2.0,1.0,1.0,4.0,4.0,3.0,5.0
2,3.0,2.0,2.0,1.0,5.0,4.0,4.0,5.0
3,,,,,,,,
4,,,,,,,,
5,5.0,5.0,4.0,1.0,5.0,5.0,4.0,4.0
6,1.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0
7,,,,,,,,
8,,,,,,,,
9,3.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0
10,4.0,2.0,3.0,1.0,5.0,4.0,4.0,4.0
11,2.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0
12,,,,,,,,
13,1.0,1.0,2.0,1.0,4.0,3.0,4.0,4.0
14,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0
15,3.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0
16,,,,,,,,
17,,,,,,,,
18,4.0,3.0,4.0,1.0,5.0,4.0,5.0,4.0
19,4.0,4.0,4.0,2.0,4.0,5.0,5.0,3.0
20,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0
21,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0
22,,,,,,,,
23,5.0,3.0,1.0,1.0,5.0,4.0,3.0,3.0
24,1.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0
25,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
26,2.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0
27,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0
28,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0
