,Location,Total Applicants,Total Accepted,Acceptance Rate (%),labels
0,Ayeyarwady,2,0.0,0.0,0/2
1,Chin,1,0.0,0.0,0/1
2,Others,10,0.0,0.0,0/10
3,Rakhine,1,0.0,0.0,0/1
4,Bago,6,1.0,16.666666666666664,1/6
5,Taninthary,4,1.0,25.0,1/4
6,Thailand (Others),4,1.0,25.0,1/4
7,Kayin,7,2.0,28.57142857142857,2/7
8,Mandalay,22,7.0,31.818181818181817,7/22
9,Shan,8,3.0,37.5,3/8
10,Kachin,5,2.0,40.0,2/5
11,Sagaing,10,4.0,40.0,4/10
12,Thailand (Mae Sot),5,2.0,40.0,2/5
13,Yangon,54,23.0,42.592592592592595,23/54
14,Magway,5,3.0,60.0,3/5
15,Mon,8,5.0,62.5,5/8
