,math_test2,math_test3,math_test6,n_math_test1,avg_math,rla_test1,rla_test2,avg_rla,sci_test1,sci_test2,sci_test3,sci_test4,avg_sci,n_ss_test1,n_ss_test2,n_ss_test3,avg_ss,Pre_Eng,Pre_Math
0,9.38,9.62,8.43,0.0,6.86,6.11,7.56,6.11,8.0,7.67,7.34,7.84,7.67,6.75,7.23,7.61,6.75,6.4,9.0
1,7.81,8.46,7.69,8.8,8.36,4.44,7.56,4.44,7.0,7.65,8.89,7.11,7.66,8.75,7.92,7.27,7.98,8.6,8.0
2,8.13,8.46,8.82,8.9,8.48,8.33,6.21,7.27,8.0,8.82,8.66,7.37,8.21,6.75,8.33,7.18,7.42,4.6000000000000005,9.0
3,8.75,8.46,8.43,9.2,8.71,8.33,9.31,8.82,7.0,10.0,8.27,8.77,8.51,8.75,8.1,8.86,8.57,5.8,5.0
4,8.75,7.31,9.22,9.8,8.77,7.22,7.59,7.59,9.0,7.65,8.73,8.07,8.36,5.0,7.23,9.32,7.16,4.8,6.0
5,10.0,10.0,9.22,10.0,9.8,9.44,9.31,9.38,7.0,8.24,8.68,8.33,8.06,9.25,7.23,8.95,9.1,8.0,9.0
6,0.94,7.31,6.67,9.8,6.18,7.22,7.56,7.29,10.0,8.24,7.43,8.6,8.57,7.0,7.23,7.27,7.14,8.0,6.5
7,5.63,4.62,8.82,7.4,6.62,7.22,7.56,7.29,3.0,7.67,7.63,7.84,3.0,3.25,7.23,6.59,4.92,4.8,8.0
8,9.69,9.62,6.47,8.6,8.59,7.22,7.59,7.59,6.0,5.29,6.88,7.89,6.52,7.15,7.23,8.09,8.09,7.0,6.0
9,10.0,9.62,9.02,8.6,9.31,7.78,6.55,7.16,10.0,10.0,7.63,7.84,10.0,6.75,7.23,8.41,7.58,6.4,9.5
10,9.69,8.46,7.69,9.6,9.64,6.67,8.28,7.48,7.65,8.24,7.63,6.49,7.36,7.75,7.23,8.86,8.31,7.800000000000001,9.5
11,8.75,8.08,8.82,9.4,8.76,7.22,10.0,8.61,7.0,7.65,7.66,7.19,7.38,9.0,7.28,8.0,8.09,8.2,9.0
12,8.44,8.46,0.0,9.4,4.7,5.0,7.56,5.0,7.65,8.82,8.44,9.12,8.79,3.42,7.23,7.86,5.64,5.0,10.0
13,9.69,8.46,7.65,9.8,9.05,5.0,5.86,5.43,7.0,7.65,8.01,7.89,7.64,8.25,7.23,8.64,8.44,5.8,8.0
14,9.06,9.62,8.82,9.4,9.22,9.44,8.62,9.03,10.0,8.24,8.73,7.89,8.72,7.5,7.23,9.09,8.3,8.0,8.5
15,8.44,8.85,8.04,8.9,8.44,7.22,7.56,7.29,9.0,5.88,4.27,5.79,6.24,4.5,4.87,4.26,4.54,5.4,8.0
16,10.0,9.62,8.63,9.8,9.51,9.44,8.97,9.2,10.0,8.24,9.05,9.12,9.1,8.0,7.79,6.73,7.5,5.0,8.0
17,8.44,8.46,7.69,8.9,8.35,7.22,7.56,7.29,7.65,7.67,7.63,7.84,7.61,7.15,7.23,6.14,6.14,3.2,3.2
18,9.38,10.0,8.04,9.2,9.16,5.56,3.45,4.5,8.0,7.06,8.99,9.65,8.42,8.75,5.98,7.64,7.45,4.8,8.0
19,8.13,7.31,5.88,8.8,7.53,7.78,8.28,8.03,7.0,7.06,5.66,7.63,6.84,9.25,7.23,8.09,8.67,5.6000000000000005,9.0
20,8.44,8.46,7.69,8.8,8.8,4.44,3.45,3.94,8.0,8.24,4.35,7.84,6.86,4.0,7.23,4.67,4.33,6.6000000000000005,7.5
21,2.5,8.46,4.71,9.2,6.22,6.11,6.55,6.33,8.0,8.24,6.33,5.7,7.07,7.75,7.55,7.01,7.44,7.0,8.0
22,10.0,10.0,9.02,10.0,9.75,7.22,8.97,8.97,7.0,7.67,7.63,9.04,8.02,9.0,7.23,7.95,8.48,8.0,9.0
23,9.06,8.46,8.43,10.0,8.99,10.0,9.66,9.83,8.0,7.65,8.31,8.68,8.16,7.25,7.83,8.83,7.97,7.4,10.0
24,8.44,9.23,7.06,9.2,8.48,10.0,8.97,9.48,7.0,8.82,9.8,9.82,8.86,9.0,8.09,8.18,8.43,6.6000000000000005,8.0
25,9.06,4.23,8.43,9.2,7.73,6.11,6.55,6.33,6.0,5.29,7.56,6.49,6.33,5.75,6.43,6.14,6.11,6.0,7.0
26,8.75,7.31,8.43,8.9,8.16,7.22,7.56,7.29,8.0,5.88,6.88,6.49,6.81,8.0,7.23,7.61,8.0,4.6000000000000005,7.0
27,10.0,10.0,7.65,9.0,9.16,8.33,8.97,8.65,8.0,7.65,7.12,8.25,7.76,7.0,7.62,8.77,7.8,8.4,9.0
28,9.38,8.46,7.45,9.4,8.67,6.11,5.52,5.82,6.0,5.29,7.11,6.75,6.29,6.75,6.15,6.73,6.54,5.4,6.0
